Player name,Team,Position,Games,Minutes Played,Age,Field Goals,Field Goal Attempts,Points,Turnover,Assists,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Steals,Freethrows,Freethrow Attempts,Blocks
Otto Porter Jr.,GSW,PF,63,1396,28,193,416,515,37,94,86,276,362,68,49,61,29
Bobby Portis,MIL,C,72,2028,26,417,871,1052,90,86,180,477,657,53,85,113,51
Kristaps Porziņģis,TOT,PF,51,1481,26,352,767,1030,81,119,102,309,411,37,248,286,84
Kristaps Porziņģis,DAL,PF,34,1002,26,229,508,654,53,69,64,197,261,25,147,170,59
Kristaps Porziņģis,WAS,PF,17,479,26,123,259,376,28,50,38,112,150,12,101,116,25
Micah Potter,DET,C,3,31,23,5,11,12,1,0,4,5,9,1,2,2,1
Dwight Powell,DAL,C,82,1798,30,269,401,717,64,97,173,231,404,37,166,212,39
Myles Powell,PHI,PG,11,52,24,5,17,13,3,3,1,5,6,1,2,2,0
Norman Powell,TOT,SF,45,1458,28,279,605,853,69,96,20,125,145,42,189,233,21
Norman Powell,POR,SF,40,1333,28,247,542,746,62,82,17,114,131,40,159,198,17
Norman Powell,LAC,SG,5,125,28,32,63,107,7,14,3,11,14,2,30,35,4
Joshua Primo,SAS,SG,50,965,19,101,270,288,57,81,32,81,113,20,44,59,23
Taurean Prince,MIN,PF,69,1177,27,177,390,502,53,68,26,148,174,47,62,82,23
Payton Pritchard,BOS,SG,71,1001,24,160,373,442,41,139,32,102,134,25,21,21,6
Trevelin Queen,HOU,SG,10,74,24,15,33,43,7,4,7,9,16,5,4,4,1
Neemias Queta,SAC,C,14,120,22,17,38,45,6,6,14,17,31,1,11,17,8
Immanuel Quickley,NYK,PG,78,1802,22,284,724,882,99,275,31,216,247,54,177,201,3
Jahmi'us Ramsey,SAC,SG,19,134,20,24,58,60,5,7,4,9,13,1,7,14,1
Julius Randle,NYK,PF,72,2544,27,512,1246,1447,245,370,125,591,716,53,303,401,39
Austin Reaves,LAL,SG,61,1418,23,146,318,444,40,110,45,148,193,29,99,118,20
Cam Reddish,TOT,SF,49,1012,22,165,408,497,57,48,25,80,105,47,101,112,15
Cam Reddish,ATL,SF,34,797,22,138,343,406,44,38,20,64,84,35,72,80,11
Cam Reddish,NYK,SF,15,215,22,27,65,91,13,10,5,16,21,12,29,32,4
Davon Reed,DEN,SG,48,668,26,81,161,209,16,53,14,94,108,24,10,15,9
Paul Reed,PHI,C,38,302,22,54,96,116,10,16,44,48,92,33,6,14,14
Naz Reid,MIN,C,77,1215,22,233,476,637,82,71,102,199,301,40,114,149,71
Nick Richards,CHO,C,50,367,24,60,90,150,24,13,34,52,86,9,30,43,21
Josh Richardson,TOT,SG,65,1600,28,234,534,666,66,115,42,143,185,56,96,108,29
Josh Richardson,BOS,SG,44,1087,28,152,343,427,39,66,26,99,125,34,61,71,23
Josh Richardson,SAS,SG,21,513,28,82,191,239,27,49,16,44,60,22,35,37,6
Austin Rivers,DEN,SG,67,1480,29,146,350,403,54,90,19,95,114,51,32,44,6
Duncan Robinson,MIA,SG,79,2043,27,290,726,863,60,129,24,179,203,42,51,61,14
Justin Robinson,TOT,PG,25,304,24,28,93,78,17,32,4,17,21,9,4,8,1
Justin Robinson,MIL,PG,17,198,24,18,57,48,11,21,2,11,13,8,2,2,0
Justin Robinson,SAC,PG,3,15,24,1,8,2,1,2,0,1,1,0,0,0,0
Justin Robinson,DET,PG,5,91,24,9,28,28,5,9,2,5,7,1,2,6,1
Mitchell Robinson,NYK,C,72,1848,23,261,343,610,60,38,295,322,617,58,88,181,133
Jeremiah Robinson-Earl,OKC,C,49,1087,21,134,324,366,39,49,75,199,274,29,40,54,15
Isaiah Roby,OKC,PF,45,948,23,166,323,454,43,71,75,142,217,36,78,116,34
Rajon Rondo,TOT,PG,39,697,35,68,176,186,68,170,15,93,108,30,19,26,6
Rajon Rondo,LAL,PG,18,289,35,23,71,55,34,67,10,39,49,12,1,2,5
Rajon Rondo,CLE,PG,21,408,35,45,105,131,34,103,5,54,59,18,18,24,1
Derrick Rose,NYK,PG,26,636,33,122,274,311,39,103,21,57,78,22,30,31,12
Terrence Ross,ORL,SG,63,1448,30,220,554,629,75,116,20,141,161,28,112,130,12
Terry Rozier,CHO,SG,73,2458,27,518,1167,1408,96,326,56,259,315,93,150,176,25
Ricky Rubio,CLE,PG,34,970,31,149,411,445,90,225,15,126,141,49,88,103,7
D'Angelo Russell,MIN,PG,65,2077,25,401,975,1176,165,460,25,191,216,62,198,240,22
Matt Ryan,BOS,SF,1,5,24,1,5,3,0,0,0,0,0,1,0,0,0
Domantas Sabonis,TOT,C,62,2136,25,443,773,1171,195,323,201,551,752,59,246,332,27
Domantas Sabonis,IND,C,47,1632,25,331,571,888,143,236,155,412,567,46,191,258,22
Domantas Sabonis,SAC,PF,15,504,25,112,202,283,52,87,46,139,185,13,55,74,5
Olivier Sarr,OKC,C,22,421,22,58,101,153,22,19,34,59,93,6,24,29,15
Tomáš Satoranský,TOT,SG,55,906,30,72,191,198,46,184,27,99,126,29,43,54,5
Tomáš Satoranský,NOP,SG,32,481,30,32,107,88,23,76,18,46,64,14,19,25,1
Tomáš Satoranský,SAS,SG,1,9,30,0,0,3,0,0,0,1,1,0,3,4,0
Tomáš Satoranský,WAS,SG,22,416,30,40,84,107,23,108,9,52,61,15,21,25,4
Jordan Schakel,WAS,SG,4,30,23,1,11,5,1,0,2,6,8,1,2,2,0
Admiral Schofield,ORL,SF,38,469,24,54,129,146,21,25,17,72,89,4,12,15,5
Dennis Schröder,TOT,SG,64,1837,28,312,724,867,143,296,34,180,214,53,157,184,8
Dennis Schröder,BOS,SG,49,1433,28,257,584,704,104,208,28,136,164,41,123,145,5
Dennis Schröder,HOU,PG,15,404,28,55,140,163,39,88,6,44,50,12,34,39,3
Tre Scott,CLE,SF,2,11,25,3,6,6,0,0,1,1,2,1,0,0,1
Jay Scrubb,LAC,SG,18,121,21,18,46,49,7,8,2,14,16,4,7,10,3
Wayne Selden,NYK,SG,3,19,27,1,4,5,0,1,0,1,1,0,2,4,0
Alperen Şengün,HOU,C,72,1489,19,249,525,692,145,185,138,255,393,59,165,232,68
Collin Sexton,CLE,SG,11,316,23,68,151,176,31,23,13,23,36,10,29,39,0
Landry Shamet,PHO,SG,69,1437,24,191,485,573,41,108,16,110,126,28,68,81,9
Day'Ron Sharpe,BRK,PF,32,391,20,86,149,198,30,17,81,79,160,10,24,41,15
Pascal Siakam,TOR,PF,68,2578,27,596,1207,1551,181,360,128,452,580,85,284,379,42
Chris Silva,TOT,PF,10,91,25,8,15,26,8,7,13,23,36,0,10,12,1
Chris Silva,MIN,PF,1,3,25,0,0,0,0,0,0,1,1,0,0,0,0
Chris Silva,MIA,PF,9,88,25,8,15,26,8,7,13,22,35,0,10,12,1
Marko Simonovic,CHI,C,9,35,22,4,15,17,2,0,5,5,10,1,8,11,1
Anfernee Simons,POR,SG,57,1681,22,353,797,988,115,221,26,125,151,30,103,116,6
Zavier Simpson,OKC,PG,4,174,24,19,52,44,10,30,2,19,21,5,5,5,4
Jericho Sims,NYK,PF,41,555,23,39,54,90,20,21,61,108,169,11,12,29,22
Deividas Sirvydis,DET,SG,3,27,21,1,10,3,0,1,0,6,6,3,0,0,1
Javonte Smart,TOT,PG,17,200,22,19,60,51,11,16,5,19,24,6,5,6,3
Javonte Smart,MIL,PG,13,160,22,11,43,31,9,14,4,15,19,4,5,6,2
Javonte Smart,MIA,PG,4,40,22,8,17,20,2,2,1,4,5,2,0,0,1
Marcus Smart,BOS,PG,71,2296,27,300,718,861,159,417,42,228,270,119,142,179,18
Dennis Smith Jr.,POR,PG,37,638,24,79,189,206,51,132,20,68,88,45,42,64,12
Ish Smith,TOT,PG,65,1126,33,185,430,410,78,244,25,115,140,47,15,24,23
Ish Smith,CHO,PG,37,511,33,73,185,168,36,98,11,46,57,20,12,19,10
Ish Smith,WAS,PG,28,615,33,112,245,242,42,146,14,69,83,27,3,5,13
Jalen Smith,TOT,PF,51,925,21,176,350,470,42,24,101,206,307,15,78,102,41
Jalen Smith,PHO,PF,29,382,21,63,137,175,22,6,55,84,139,6,40,52,18
Jalen Smith,IND,PF,22,543,21,113,213,295,20,18,46,122,168,9,38,50,23
Xavier Sneed,TOT,SF,9,39,24,2,10,5,0,1,2,4,6,0,0,0,0
Xavier Sneed,MEM,SF,2,8,24,0,2,0,0,0,1,1,2,0,0,0,0
Xavier Sneed,UTA,SF,7,31,24,2,8,5,0,1,1,3,4,0,0,0,0
Tony Snell,TOT,SG,53,823,30,69,171,187,19,28,16,87,103,16,4,4,9
Tony Snell,POR,SG,38,546,30,36,97,99,11,20,11,61,72,8,3,3,7
Tony Snell,NOP,SG,15,277,30,33,74,88,8,8,5,26,31,8,1,1,2
Jaden Springer,PHI,SG,2,6,19,1,1,2,1,0,1,1,2,0,0,0,2
Cassius Stanley,DET,SG,9,155,22,19,46,52,6,4,5,14,19,5,10,10,2
Nik Stauskas,TOT,SG,8,39,28,5,14,18,1,2,1,2,3,0,4,6,0
Nik Stauskas,MIA,SG,2,24,28,3,8,11,0,1,1,2,3,0,3,4,0
Nik Stauskas,BOS,SG,6,15,28,2,6,7,1,1,0,0,0,0,1,2,0
Lance Stephenson,TOT,SG,46,814,31,147,323,384,72,165,12,115,127,24,63,80,4
Lance Stephenson,ATL,SF,6,70,31,5,13,11,4,11,1,14,15,0,1,2,0
Lance Stephenson,IND,SG,40,744,31,142,310,373,68,154,11,101,112,24,62,78,4
Lamar Stevens,CLE,PF,63,1015,24,156,319,383,41,44,47,117,164,31,53,75,18
Isaiah Stewart,DET,C,71,1816,20,250,490,589,85,82,226,391,617,22,74,103,78
Max Strus,MIA,SF,68,1587,25,249,564,721,57,92,24,178,202,28,42,53,16
Jalen Suggs,ORL,PG,48,1307,20,198,548,564,143,209,26,145,171,59,126,163,19
Craig Sword,WAS,SG,3,19,28,3,4,6,1,1,0,0,0,4,0,0,0
Keifer Sykes,IND,PG,32,566,28,69,190,180,33,62,8,37,45,12,15,17,4
Jae'Sean Tate,HOU,SF,78,2056,26,363,729,919,139,222,135,285,420,72,130,184,41
Jayson Tatum,BOS,SF,76,2731,23,708,1564,2046,217,334,85,524,609,75,400,469,49
Terry Taylor,IND,SG,33,714,22,135,220,318,23,41,95,77,172,14,36,51,8
Garrett Temple,NOP,SG,59,1098,35,111,295,309,42,74,29,114,143,43,28,41,23
Emanuel Terry,PHO,PF,3,18,25,0,5,0,5,2,8,7,15,1,0,0,0
Tyrell Terry,MEM,PG,2,3,21,1,1,2,0,0,0,0,0,0,0,0,0
Jon Teske,MEM,C,3,8,24,0,1,0,0,1,0,2,2,1,0,2,0
Daniel Theis,TOT,C,47,977,29,151,291,384,46,41,59,169,228,20,49,72,31
Daniel Theis,HOU,C,26,584,29,84,179,218,31,20,32,98,130,11,27,40,17
Daniel Theis,BOS,C,21,393,29,67,112,166,15,21,27,71,98,9,22,32,14
Brodric Thomas,BOS,SG,12,60,25,8,18,21,6,11,2,8,10,1,3,5,1
Cam Thomas,BRK,SG,67,1176,20,218,503,570,55,78,16,145,161,33,87,105,8
Isaiah Thomas,TOT,PG,22,333,32,67,167,184,15,34,4,25,29,7,22,26,5
Isaiah Thomas,LAL,PG,4,101,32,12,39,37,5,6,1,7,8,0,8,11,2
Isaiah Thomas,DAL,PG,1,13,32,3,8,6,0,4,0,0,0,0,0,0,0
Isaiah Thomas,CHO,PG,17,219,32,52,120,141,10,24,3,18,21,7,14,15,3
Matt Thomas,CHI,SG,40,459,27,55,134,161,8,20,3,47,50,8,16,20,3
Klay Thompson,GSW,SG,32,941,31,246,573,652,43,88,15,110,125,16,46,51,17
Tristan Thompson,TOT,PF,57,897,30,141,267,344,45,34,120,168,288,23,61,116,21
Tristan Thompson,SAC,PF,30,455,30,76,151,185,29,18,72,89,161,11,32,60,12
Tristan Thompson,IND,PF,4,66,30,13,24,29,4,2,7,11,18,0,3,8,2
Tristan Thompson,CHI,PF,23,376,30,52,92,130,12,14,41,68,109,12,26,48,7
JT Thor,CHO,PF,33,262,19,24,55,67,10,19,11,32,43,8,12,20,11
Matisse Thybulle,PHI,SG,66,1685,24,150,300,379,39,75,42,109,151,115,34,43,71
Killian Tillie,MEM,C,36,461,23,43,127,118,13,22,21,39,60,23,5,8,15
Xavier Tillman Sr.,MEM,PF,53,701,23,98,216,252,34,62,66,95,161,49,46,71,15
Isaiah Todd,WAS,PF,12,74,20,7,26,20,4,4,3,9,12,4,2,6,2
Obi Toppin,NYK,PF,72,1230,23,251,473,648,56,77,69,199,268,25,94,124,33
Juan Toscano-Anderson,GSW,SF,73,994,28,115,235,298,68,127,28,148,176,48,40,70,17
Karl-Anthony Towns,MIN,C,74,2476,26,642,1214,1818,226,269,194,533,727,72,384,467,83
Gary Trent Jr.,TOR,SG,70,2448,23,450,1086,1283,73,141,26,165,191,122,174,204,19
P.J. Tucker,MIA,PF,71,1981,36,207,428,539,66,149,100,287,387,58,45,61,15
Rayjon Tucker,TOT,SG,5,71,24,6,9,21,1,10,3,5,8,4,5,7,0
Rayjon Tucker,DEN,SG,3,29,24,1,2,6,0,4,1,3,4,1,3,4,0
Rayjon Tucker,MIL,SG,2,42,24,5,7,15,1,6,2,2,4,3,2,3,0
Myles Turner,IND,C,42,1235,25,200,393,540,54,44,65,232,297,28,79,105,118
Jonas Valančiūnas,NOP,C,74,2240,29,510,938,1314,179,190,226,617,843,41,237,289,60
Denzel Valentine,TOT,SG,24,222,28,25,66,69,12,11,9,33,42,8,0,0,0
Denzel Valentine,CLE,SG,22,204,28,23,62,64,10,11,9,29,38,7,0,0,0
Denzel Valentine,UTA,SG,2,18,28,2,4,5,2,0,0,4,4,1,0,0,0
Jarred Vanderbilt,MIN,PF,74,1880,22,212,361,512,73,94,215,409,624,99,86,131,46
Fred VanVleet,TOR,PG,65,2462,27,442,1097,1320,170,434,44,245,289,111,194,222,35
Devin Vassell,SAS,SF,71,1937,21,326,764,872,58,136,44,262,306,76,83,99,41
Gabe Vincent,MIA,PG,68,1589,25,214,513,591,98,210,22,104,126,62,44,54,12
Nikola Vučević,CHI,C,73,2418,31,546,1154,1288,136,236,142,662,804,70,92,121,71
Dean Wade,CLE,PF,51,980,25,99,217,269,16,52,31,119,150,29,20,30,7
Franz Wagner,ORL,SF,79,2429,20,456,975,1197,119,231,84,272,356,68,189,219,34
Moritz Wagner,ORL,C,63,960,24,197,396,564,56,87,42,190,232,20,104,129,13
Ish Wainright,PHO,PF,45,359,27,41,104,108,13,15,27,27,54,20,7,12,6
Kemba Walker,NYK,PG,37,948,31,149,370,431,48,131,14,97,111,26,60,71,7
Lonnie Walker IV,SAS,SG,70,1612,23,311,764,849,71,152,18,163,181,44,116,148,19
M.J. Walker,PHO,SG,2,8,23,0,4,0,0,1,0,1,1,2,0,0,0
Tyrone Wallace,NOP,SG,6,75,27,7,20,17,2,1,0,8,8,3,1,5,1
Derrick Walton,DET,PG,3,108,26,6,26,19,11,21,2,8,10,7,4,4,4
Brad Wanamaker,TOT,PG,23,320,32,28,77,83,23,55,6,33,39,7,23,25,6
Brad Wanamaker,IND,PG,22,293,32,26,72,76,23,48,6,29,35,5,20,22,6
Brad Wanamaker,WAS,PG,1,27,32,2,5,7,0,7,0,4,4,2,3,3,0
Duane Washington Jr.,IND,PG,48,968,21,173,427,473,57,85,4,79,83,26,46,61,3
P.J. Washington,CHO,PF,65,1768,23,250,532,668,82,147,82,255,337,57,58,81,61
Yuta Watanabe,TOR,SF,38,445,27,56,138,163,19,21,18,74,92,11,24,40,16
Lindy Waters III,OKC,SG,25,465,24,71,175,199,11,24,6,67,73,19,4,5,8
Tremont Waters,TOT,PG,3,50,24,4,14,10,4,7,0,4,4,5,0,0,0
Tremont Waters,TOR,PG,2,42,24,3,12,8,4,7,0,4,4,4,0,0,0
Tremont Waters,WAS,PG,1,8,24,1,2,2,0,0,0,0,0,1,0,0,0
Trendon Watford,POR,SF,48,869,21,142,267,364,44,81,57,142,199,25,71,94,28
Paul Watson,OKC,SF,9,156,27,12,35,31,4,8,3,24,27,3,1,2,3
Quinndary Weatherspoon,GSW,SG,11,73,25,12,21,30,3,5,2,12,14,1,5,5,1
Russell Westbrook,LAL,PG,78,2678,33,548,1233,1441,295,550,110,470,580,75,266,399,20
Coby White,CHI,PG,61,1675,21,279,644,772,70,176,17,165,182,29,78,91,11
Derrick White,TOT,SG,75,2199,27,337,800,992,119,366,38,223,261,64,203,235,58
Derrick White,SAS,SG,49,1486,27,243,570,706,87,274,25,148,173,49,139,160,42
Derrick White,BOS,SG,26,713,27,94,230,286,32,92,13,75,88,15,64,75,16
Hassan Whiteside,UTA,C,65,1162,32,215,330,534,53,26,166,328,494,22,104,167,103
Joe Wieskamp,SAS,SG,29,205,22,20,56,61,2,9,4,10,14,4,7,13,3
Aaron Wiggins,OKC,SG,50,1209,23,156,337,416,54,68,51,127,178,30,62,85,10
Andrew Wiggins,GSW,SF,73,2329,26,475,1019,1256,111,161,85,240,325,76,149,235,51
Lindell Wigginton,MIL,PG,19,199,23,26,61,80,12,23,3,22,25,5,19,35,1
Brandon Williams,POR,PG,24,640,22,105,282,309,58,94,19,55,74,24,68,97,10
Grant Williams,BOS,PF,77,1875,23,205,432,602,62,78,64,210,274,38,86,95,57
Kenrich Williams,OKC,SF,49,1072,27,146,317,363,46,108,75,145,220,44,30,55,10
Lou Williams,ATL,PG,56,799,35,125,320,354,43,105,16,71,87,28,67,78,3
Patrick Williams,CHI,PF,17,422,20,54,102,153,16,15,17,52,69,9,30,41,9
Robert Williams,BOS,C,61,1804,24,271,368,607,63,121,238,350,588,56,65,90,134
Ziaire Williams,MEM,SF,62,1346,20,191,424,501,41,65,26,103,129,35,43,55,12
D.J. Wilson,TOR,PF,4,54,25,11,15,30,2,5,1,15,16,5,8,10,1
Dylan Windler,CLE,SF,50,459,25,37,98,110,16,34,21,68,89,14,15,18,3
Justise Winslow,TOT,SF,48,774,25,110,257,274,49,84,50,152,202,35,39,66,25
Justise Winslow,LAC,SF,37,479,25,63,141,156,37,52,30,103,133,21,25,41,18
Justise Winslow,POR,SF,11,295,25,47,116,118,12,32,20,49,69,14,14,25,7
Cassius Winston,WAS,PG,7,39,23,4,11,14,3,7,0,1,1,0,4,4,0
Christian Wood,HOU,C,68,2094,26,440,878,1218,126,155,110,576,686,54,207,332,65
Robert Woodard II,SAC,SF,12,42,22,2,16,7,1,3,5,6,11,1,2,2,1
Delon Wright,ATL,SG,77,1452,29,122,269,342,45,188,50,170,220,93,54,63,19
McKinley Wright IV,MIN,PG,5,19,23,2,3,5,1,3,0,0,0,0,0,0,0
Moses Wright,TOT,PF,4,14,23,1,4,5,0,2,1,2,3,0,3,3,1
Moses Wright,LAC,PF,1,1,23,0,0,0,0,1,0,0,0,0,0,0,0
Moses Wright,DAL,PF,3,13,23,1,4,5,0,1,1,2,3,0,3,3,1
Gabe York,IND,SG,2,21,28,2,7,8,1,4,0,2,2,2,3,5,1
Thaddeus Young,TOT,PF,52,845,33,141,272,322,52,104,80,128,208,54,23,49,18
Thaddeus Young,SAS,PF,26,370,33,74,128,158,30,59,40,53,93,23,10,22,7
Thaddeus Young,TOR,PF,26,475,33,67,144,164,22,45,40,75,115,31,13,27,11
Trae Young,ATL,PG,76,2652,23,711,1544,2155,303,737,50,234,284,72,500,553,7
Omer Yurtseven,MIA,C,56,706,23,130,247,299,41,49,85,209,294,17,38,61,20
Cody Zeller,POR,C,27,355,29,51,90,140,19,22,50,75,125,8,38,49,6
Ivica Zubac,LAC,C,76,1852,24,310,495,785,114,120,217,427,644,36,165,227,77
